x0,x1,y
6.938582,17.623393,0.0
27.417628,8.180353,0.0
21.562673,11.799253,0.0
29.110647,13.808291,0.0
10.244707,16.989865,0.0
25.013613,12.332150,0.0
10.353923,14.286874,0.0
6.495142,20.135264,0.0
12.197969,3.153501,0.0
6.505118,13.572904,0.0
22.522259,9.978148,0.0
8.644496,11.270316,0.0
11.428229,21.172456,0.0
6.188633,29.740907,0.0
19.185203,23.317317,0.0
2.848162,28.134793,0.0
11.329963,18.454135,0.0
11.600048,12.732747,0.0
17.337133,1.771243,0.0
20.984967,5.103508,0.0
6.049495,12.192273,0.0
0.461041,18.850721,0.0
14.832139,18.514238,0.0
12.894349,1.593297,0.0
8.624818,17.017646,0.0
8.099925,13.977225,0.0
17.949815,17.809520,0.0
22.824732,0.731724,0.0
8.636502,15.855070,0.0
12.030812,8.228707,0.0
16.849187,27.841957,0.0
6.515601,23.483381,0.0
12.023694,23.384417,0.0
15.126828,23.999889,0.0
24.919466,16.842332,0.0
16.667215,1.137506,0.0
8.218399,23.221725,0.0
27.040140,15.705407,0.0
16.709199,9.665755,0.0
17.115606,5.471293,0.0
9.758723,19.728614,0.0
6.403964,26.835912,0.0
16.997363,5.353053,0.0
5.968070,22.178957,0.0
14.317409,18.801810,0.0
29.473504,15.745501,0.0
9.620290,29.935921,0.0
18.741617,29.251742,0.0
19.034754,20.372417,0.0
28.275497,13.597319,0.0
29.012331,12.952498,0.0
5.873159,10.145539,0.0
13.612045,10.051823,0.0
10.957462,11.458897,0.0
9.456710,13.186578,0.0
1.102342,29.588620,0.0
2.177895,27.664707,0.0
12.847273,6.525498,0.0
27.497351,18.380180,0.0
19.778491,20.517243,0.0
18.501384,10.649356,0.0
28.020753,13.048988,0.0
12.536274,3.422514,0.0
12.560452,27.940529,0.0
13.098266,27.778116,0.0
26.791146,14.376174,0.0
24.991770,2.849927,0.0
11.441874,9.924805,0.0
17.680350,3.050404,0.0
5.672414,12.629864,0.0
29.546725,12.236347,0.0
11.386327,5.218676,0.0
13.569146,1.519488,0.0
19.055453,6.499189,0.0
27.475119,0.011804,0.0
3.279130,26.135506,0.0
28.474044,3.304410,0.0
25.315882,2.376999,0.0
24.476132,1.525840,0.0
25.878560,9.697945,0.0
29.231754,1.468044,0.0
28.465708,6.983190,0.0
14.456211,10.143150,0.0
18.436826,9.451252,0.0
21.098576,8.206410,0.0
17.307493,5.308090,0.0
8.243547,10.223188,0.0
19.483721,27.278358,0.0
16.190706,6.536785,0.0
0.891953,21.494340,0.0
25.141847,2.386229,0.0
6.876179,20.488266,0.0
8.146354,14.523902,0.0
5.155349,15.122444,0.0
10.181096,21.543561,0.0
5.390995,15.059465,0.0
22.518511,15.522242,0.0
0.893962,17.013543,0.0
10.356610,25.947211,0.0
17.527166,20.137440,0.0
13.961169,29.490578,0.0
5.019393,23.412017,0.0
0.733694,12.569911,0.0
21.394066,13.111138,0.0
0.853088,20.185151,0.0
23.980653,7.548347,0.0
14.084420,8.948324,0.0
8.898239,27.926106,0.0
17.646633,16.683081,0.0
10.800926,4.061944,0.0
13.735916,29.481709,0.0
1.047398,14.858871,0.0
3.090587,26.457079,0.0
17.716741,27.578304,0.0
8.989260,12.396438,0.0
2.140265,18.185555,0.0
26.455198,16.111979,0.0
9.699889,16.275827,0.0
10.593628,6.559538,0.0
26.315313,4.538852,0.0
3.510168,24.481604,0.0
18.889688,20.660756,0.0
19.523176,23.897009,0.0
17.492332,0.418372,0.0
13.752651,23.582092,0.0
27.551315,10.915945,0.0
14.650608,10.696206,0.0
11.230400,3.664811,0.0
0.029129,12.439364,0.0
2.119084,11.214600,0.0
15.148184,12.254836,0.0
9.120520,21.845074,0.0
2.282660,20.582228,0.0
0.406648,16.333732,0.0
12.630167,24.574492,0.0
16.717353,9.730605,0.0
12.111762,24.712326,0.0
29.394142,4.288519,0.0
16.344950,7.139094,0.0
12.229840,8.503177,0.0
0.107498,5.816679,1.0
3.256701,1.067795,1.0
8.710239,2.137643,1.0
9.785292,7.548355,1.0
4.954674,8.833296,1.0
8.353015,8.958402,1.0
8.103379,6.259761,1.0
2.360542,6.386846,1.0
1.242557,9.105308,1.0
9.779334,8.189912,1.0
8.579442,5.438192,1.0
9.785687,6.787277,1.0
2.453514,1.008441,1.0
2.928545,0.243380,1.0
6.596457,0.484275,1.0
3.496257,3.419048,1.0
1.782162,4.887339,1.0
1.526106,7.308475,1.0
2.542250,6.090278,1.0
7.952414,6.644761,1.0
22.302307,21.435126,1.0
28.424343,25.590865,1.0
27.360584,22.711680,1.0
27.072519,23.160898,1.0
22.437204,21.218448,1.0
20.106349,25.384998,1.0
20.132979,27.796092,1.0
23.753892,28.337655,1.0
23.550273,24.525068,1.0
21.601560,28.034077,1.0
25.510564,22.840873,1.0
24.815852,25.667597,1.0
27.078201,29.263504,1.0
22.552303,26.179044,1.0
24.667625,27.547328,1.0
25.694580,24.613893,1.0
28.888509,29.365784,1.0
22.358945,29.642310,1.0
21.296198,23.357321,1.0
28.154693,24.665845,1.0
